filename,emr_dissim,mse_rgb,max_p99,mse_red,mse_hsv_V,mse_hsv_H
B22-304\01658_Aug7.png,0.03677696,17.382895,144.0,14.123352,0.00016430634,0.0065064803
B22-304\01658_Aug8.png,0.03537035,18.84111,144.0,15.84906,0.00018468847,0.013910998
B22-304\01757.png,0.038565695,17.12411,144.0,14.418564,0.00015348216,0.005741492
B22-304\01757_Aug1.png,0.04067725,18.599966,144.0,15.359161,0.00017217497,0.006751599
B22-304\01757_Aug2.png,0.03970152,18.150686,144.0,15.333832,0.00016466372,0.006108721
B22-304\01757_Aug3.png,0.041461885,19.532236,169.0,16.267715,0.00018684313,0.008926523
B22-304\01757_Aug4.png,0.038084447,18.093262,144.0,15.306351,0.00016404681,0.0072563407
B22-304\01757_Aug5.png,0.04077798,19.830194,169.0,16.97084,0.00019510316,0.0115918415
B22-304\01757_Aug6.png,0.03681761,18.34877,144.0,15.9461975,0.00017444625,0.008981487
B22-304\01757_Aug7.png,0.041261435,20.490631,169.0,17.645538,0.00020415426,0.01299919
B22-304\01757_Aug8.png,0.03731394,19.01888,169.0,16.626007,0.00018345041,0.009948639
B22-305\00252.png,0.027220309,13.295013,100.0,11.33168,9.950044e-05,0.0014523834
B22-305\00365.png,0.016562521,10.255757,36.0,9.368805,4.934625e-05,0.032958716
B22-305\00367.png,0.018297493,10.791844,49.0,9.618759,5.967623e-05,0.026670346
B22-305\00561.png,0.016278982,10.766434,36.0,9.923523,5.5727367e-05,0.041729413
B22-306\01039.png,0.03430915,17.918585,100.0,17.326233,0.00016099997,0.0005609229
B22-307\00261.png,0.016695976,10.364339,36.0,9.3567505,5.1266004e-05,0.016668595
B22-307\00284.png,0.016453803,10.2578535,36.0,9.2131195,5.082484e-05,0.014807781
B22-307\00300.png,0.016630828,10.554921,36.0,9.425293,5.5259454e-05,0.010974337
B22-308\00086.png,0.02885431,14.627711,64.0,14.034256,0.000102261685,0.00051653525
B22-30\00018.png,0.016035378,10.311788,36.0,9.198471,5.027902e-05,0.004373774
B22-30\00178.png,0.01752901,10.541545,49.0,9.434402,5.2893374e-05,0.027805865
B22-30\00535.png,0.018767416,10.851558,49.0,9.564331,5.604744e-05,0.009512049
B22-30\00536.png,0.0187909,10.753174,49.0,9.488892,5.318881e-05,0.0037448527
B22-30\00629.png,0.016513348,10.147583,36.0,8.928619,4.5999055e-05,0.026355052
B22-311\00002.png,0.018172026,11.405629,49.0,10.42981,6.299527e-05,0.047144756
B22-311\00529.png,0.01813364,10.854004,49.0,9.73941,5.8963098e-05,0.024868816
B22-312\00000.png,0.017728388,14.856893,49.0,16.259918,0.00013005531,0.0075941263
B22-312\00010.png,0.0148255825,13.381017,36.0,13.752457,8.607552e-05,0.00022852197
B22-312\00096.png,0.017025232,13.843801,49.0,14.352402,9.015086e-05,0.00022933223
B22-312\00097.png,0.017253935,12.99207,49.0,12.911606,7.999312e-05,0.00022993838
B22-312\00235.png,0.01781112,13.757329,49.0,13.935684,8.928567e-05,0.0002703231
B22-312\00308.png,0.023355007,15.064702,81.0,14.6970825,0.000113757924,0.00034803947
B22-312\00600.png,0.017463386,13.629064,49.0,13.654358,9.105266e-05,0.00034248186
B22-312\00891.png,0.026258409,14.327057,64.0,13.639496,9.945256e-05,0.00036050254
B22-312\00910.png,0.027825654,14.905721,64.0,14.1167755,0.00011074019,0.00040019426
B22-312\00957.png,0.025517404,15.997401,81.0,15.084244,0.00012738112,0.0034170293
B22-312\00957_Aug1.png,0.025569737,16.18519,100.0,14.967773,0.00012979907,0.0032382223
B22-312\00957_Aug2.png,0.025719166,15.861923,81.0,14.948135,0.00012539848,0.003216367
B22-312\00957_Aug3.png,0.026272118,16.340464,100.0,15.216156,0.00013056688,0.0035539076
B22-312\00957_Aug4.png,0.025938272,16.02947,81.0,15.101181,0.00012845213,0.0033255203
